user_id,n_relevant,n_novel_relevant,novel_hits,seen_hits,novel_recall,seed,model
user_000000_000297,13,9,1,2,0.1111111111111111,73,svd_256
user_000000_000298,11,4,0,4,0.0,73,svd_256
user_000000_000299,11,1,0,2,0.0,73,svd_256
user_000000_000300,11,3,0,3,0.0,73,svd_256
user_000000_000301,15,11,0,0,0.0,73,svd_256
user_000000_000302,9,1,0,5,0.0,73,svd_256
user_000000_000303,10,2,0,7,0.0,73,svd_256
user_000000_000304,15,7,1,4,0.14285714285714285,73,svd_256
user_000000_000305,14,12,1,1,0.08333333333333333,73,svd_256
user_000000_000306,13,6,0,4,0.0,73,svd_256
user_000000_000307,13,5,0,4,0.0,73,svd_256
user_000000_000308,15,8,0,0,0.0,73,svd_256
user_000000_000309,13,9,0,1,0.0,73,svd_256
user_000000_000310,6,1,0,5,0.0,73,svd_256
user_000000_000311,11,6,0,4,0.0,73,svd_256
user_000000_000312,11,8,0,3,0.0,73,svd_256
user_000000_000313,14,8,0,3,0.0,73,svd_256
user_000000_000314,14,8,0,4,0.0,73,svd_256
user_000000_000315,11,7,0,2,0.0,73,svd_256
user_000000_000316,13,8,1,0,0.125,73,svd_256
user_000000_000317,12,2,0,2,0.0,73,svd_256
user_000000_000318,6,1,0,4,0.0,73,svd_256
user_000000_000319,7,1,0,6,0.0,73,svd_256
user_000000_000320,11,5,0,4,0.0,73,svd_256
user_000000_000321,13,10,0,2,0.0,73,svd_256
user_000000_000322,13,8,1,4,0.125,73,svd_256
user_000000_000323,9,5,0,2,0.0,73,svd_256
user_000000_000324,5,0,0,5,,73,svd_256
user_000000_000325,7,3,0,3,0.0,73,svd_256
user_000000_000326,15,13,0,0,0.0,73,svd_256
user_000000_000327,12,6,0,2,0.0,73,svd_256
user_000000_000328,10,2,0,5,0.0,73,svd_256
user_000000_000329,12,6,2,4,0.3333333333333333,73,svd_256
user_000000_000330,11,4,0,4,0.0,73,svd_256
user_000000_000331,12,5,0,4,0.0,73,svd_256
user_000000_000332,12,8,1,2,0.125,73,svd_256
user_000000_000333,12,7,1,4,0.14285714285714285,73,svd_256
user_000000_000334,8,2,0,3,0.0,73,svd_256
user_000000_000335,13,9,1,3,0.1111111111111111,73,svd_256
user_000000_000336,14,9,0,2,0.0,73,svd_256
user_000000_000337,11,7,1,4,0.14285714285714285,73,svd_256
user_000000_000338,11,4,0,5,0.0,73,svd_256
user_000000_000339,9,1,0,8,0.0,73,svd_256
user_000000_000340,13,5,0,4,0.0,73,svd_256
user_000000_000341,5,1,1,3,1.0,73,svd_256
user_000000_000342,15,9,0,2,0.0,73,svd_256
user_000000_000343,9,1,0,6,0.0,73,svd_256
user_000000_000344,11,7,1,3,0.14285714285714285,73,svd_256
user_000000_000345,15,12,0,1,0.0,73,svd_256
user_000000_000346,13,6,0,4,0.0,73,svd_256
user_000000_000347,15,10,0,4,0.0,73,svd_256
user_000000_000348,14,12,0,1,0.0,73,svd_256
user_000000_000349,12,4,0,2,0.0,73,svd_256
user_000000_000350,14,1,0,7,0.0,73,svd_256
user_000000_000351,7,1,0,4,0.0,73,svd_256
user_000000_000352,10,6,0,3,0.0,73,svd_256
user_000000_000353,13,5,0,5,0.0,73,svd_256
user_000000_000354,14,7,0,1,0.0,73,svd_256
user_000000_000355,14,7,0,2,0.0,73,svd_256
user_000000_000356,15,7,1,2,0.14285714285714285,73,svd_256
user_000000_000357,11,5,0,3,0.0,73,svd_256
user_000000_000358,13,6,0,5,0.0,73,svd_256
user_000000_000359,11,4,0,5,0.0,73,svd_256
user_000000_000360,13,8,1,5,0.125,73,svd_256
user_000000_000361,6,0,0,5,,73,svd_256
user_000000_000362,8,4,0,3,0.0,73,svd_256
user_000000_000363,14,4,0,3,0.0,73,svd_256
user_000000_000364,14,6,0,3,0.0,73,svd_256
user_000000_000365,14,11,0,1,0.0,73,svd_256
user_000000_000366,13,8,1,2,0.125,73,svd_256
user_000000_000367,10,1,0,7,0.0,73,svd_256
user_000000_000368,10,4,0,2,0.0,73,svd_256
user_000000_000369,14,8,2,3,0.25,73,svd_256
